text,intent
Include 'Happier' by Marshmello and Bastille.,add
Add 'Ride' by Twenty One Pilots.,add
Could you add 'The Middle' by Zedd?,add
Add 'Ocean Eyes' by Billie Eilish.,add
Please add 'Rockstar' by Post Malone.,add
Include 'Wow.' by Post Malone in my playlist.,add
Add 'Shut Up and Dance' by WALK THE MOON.,add
Can you add 'Elastic Heart' by Sia?,add
Add 'Thunder' by Imagine Dragons.,add
Include 'Sorry Not Sorry' by Demi Lovato.,add
Add 'Can't Feel My Face' by The Weeknd.,add
Add 'Hold On' by Justin Bieber.,add
I want to add 'Believer' by Imagine Dragons.,add
Add 'Wrecking Ball' by Miley Cyrus.,add
Please add 'Someone Like You' by Adele.,add
Add 'Lucid Dreams' by Juice WRLD.,add
Include 'New Rules' by Dua Lipa.,add
Add 'Stay With Me' by Sam Smith.,add
Add 'Attention' by Charlie Puth.,add
Please add 'Slow Hands' by Niall Horan.,add
Add 'IDGAF' by Dua Lipa.,add
Could you please add 'Don't Let Me Down' by The Chainsmokers?,add
Include 'Meant to Be' by Bebe Rexha.,add
Add 'Say So' by Doja Cat to my playlist.,add
Add 'Rise' by Katy Perry.,add
Please add 'Good as Hell' by Lizzo.,add
Add 'Intentions' by Justin Bieber.,add
I want to add 'Into You' by Ariana Grande.,add
Add 'Closer' by The Chainsmokers.,add
Please add 'Speechless' by Dan + Shay.,add
Include 'Break My Heart' by Dua Lipa.,add
Add 'Starboy' by The Weeknd.,add
Could you add 'Go Crazy' by Chris Brown?,add
Add 'God's Plan' by Drake.,add
Include 'Before You Go' by Lewis Capaldi.,add
Add 'Havana' by Camila Cabello.,add
Add 'If I Can't Have You' by Shawn Mendes.,add
Please add 'Call Me Maybe' by Carly Rae Jepsen.,add
Add '7 Rings' by Ariana Grande.,add
Include 'Shape of You' by Ed Sheeran in my playlist.,add
Add 'Don't Let Me Down' by The Chainsmokers.,add
Could you add 'Old Town Road' by Lil Nas X?,add
Add 'Circles' by Post Malone to my playlist.,add
Please add 'Love Yourself' by Justin Bieber.,add
Add 'Sunflower' by Post Malone.,add
I want to add 'Work' by Rihanna.,add
Add 'Somebody to Love' by Queen.,add
Include 'Sunflower' by Post Malone in my playlist.,add
Add 'Shape of You' by Ed Sheeran.,add
Could you please add 'Blank Space' by Taylor Swift?,add
Add 'Firework' by Katy Perry.,add
Include 'Get Lucky' by Daft Punk in my playlist.,add
Please add 'Royals' by Lorde.,add
"Add 'Break Up with Your Girlfriend, I'm Bored' by Ariana Grande.",add
Add 'Time of Our Lives' by Pitbull.,add
Could you add 'Body Like a Back Road' by Sam Hunt?,add
Add 'Where Are Ü Now' by Skrillex and Diplo.,add
Please add 'Old Town Road' by Lil Nas X.,add
Add 'Say Something' by A Great Big World.,add
Include 'Rather Be' by Clean Bandit.,add
Add 'Somebody That I Used to Know' by Gotye.,add
Can you add 'Ex's & Oh's' by Elle King?,add
Add 'Thunder' by Imagine Dragons to my playlist.,add
Add 'Let Me Love You' by Mario.,add
Include 'Hotline Bling' by Drake.,add
Please add 'Attention' by Charlie Puth.,add
Add 'Worth It' by Fifth Harmony.,add
Add 'On the Floor' by Jennifer Lopez.,add
I want to add 'Party Rock Anthem' by LMFAO.,add
Add 'Feel It Still' by Portugal. The Man.,add
Include 'Pillowtalk' by Zayn in my playlist.,add
Please add 'Wolves' by Selena Gomez and Marshmello.,add
Add 'Say You Won't Let Go' by James Arthur.,add
Could you add 'Roses' by The Chainsmokers?,add
Add 'I'm the One' by DJ Khaled.,add
Include 'Sicko Mode' by Travis Scott.,add
Please add 'Congratulations' by Post Malone.,add
Add 'Wow.' by Post Malone.,add
Can you add 'Wake Me Up' by Avicii?,add
Add 'Scars to Your Beautiful' by Alessia Cara.,add
Remove 'Imagine' by John Lennon from my playlist.,remove
Take 'Let It Be' by The Beatles off the list.,remove
Please remove 'Smells Like Teen Spirit' from my collection.,remove
Can you delete 'Rolling in the Deep' by Adele?,remove
Get rid of 'Billie Jean' by Michael Jackson from my list.,remove
Please take 'Shape of You' by Ed Sheeran off the playlist.,remove
Delete 'Hallelujah' by Leonard Cohen from my saved songs.,remove
Remove 'Bohemian Rhapsody' by Queen from my playlist.,remove
Take 'Hotel California' by The Eagles off the list.,remove
Can you remove 'Yesterday' by The Beatles from my collection?,remove
Please delete 'Like a Rolling Stone' by Bob Dylan.,remove
Get rid of 'Purple Rain' by Prince from the list.,remove
Can you take off 'Sweet Child O' Mine' by Guns N' Roses?,remove
Remove 'Back in Black' by AC/DC from my playlist.,remove
Delete 'Wonderwall' by Oasis from my saved songs.,remove
Can you remove 'Beat It' by Michael Jackson?,remove
Take 'Stayin' Alive' by the Bee Gees off my playlist.,remove
Please remove 'I Will Always Love You' by Whitney Houston.,remove
Can you delete 'Toxic' by Britney Spears from my list?,remove
Take 'Single Ladies' by Beyoncé off the playlist.,remove
Remove 'Smells Like Teen Spirit' by Nirvana.,remove
Can you remove 'Shake It Off' by Taylor Swift?,remove
Take 'Don’t Stop Believin' by Journey off the list.,remove
Delete 'Uptown Funk' by Mark Ronson from my saved songs.,remove
Remove 'All of Me' by John Legend from my playlist.,remove
Please take 'Rolling in the Deep' by Adele off the playlist.,remove
Get rid of 'Bohemian Rhapsody' by Queen.,remove
Remove 'Stay' by Rihanna from my playlist.,remove
Take 'Sweet Home Alabama' by Lynyrd Skynyrd off my playlist.,remove
Can you delete 'Let Her Go' by Passenger?,remove
Please remove 'We Are the Champions' by Queen from the list.,remove
Take 'My Heart Will Go On' by Celine Dion off the playlist.,remove
Delete 'Let It Go' by Idina Menzel from the collection.,remove
Remove 'No Scrubs' by TLC from the list.,remove
Can you take off 'Don’t Let Me Down' by The Chainsmokers?,remove
Remove 'I’m Yours' by Jason Mraz from my playlist.,remove
Please remove 'Love Yourself' by Justin Bieber.,remove
Delete 'One Dance' by Drake from my saved songs.,remove
Take 'Despacito' by Luis Fonsi off the list.,remove
Get rid of 'Thunder' by Imagine Dragons from my collection.,remove
Can you delete 'Take Me to Church' by Hozier?,remove
Remove 'The Weeknd' by Blinding Lights from my playlist.,remove
Please take 'Feel It Still' by Portugal. The Man off the list.,remove
Delete 'Old Town Road' by Lil Nas X from my collection.,remove
Remove 'Truth Hurts' by Lizzo from my playlist.,remove
Take 'God’s Plan' by Drake off the list.,remove
Can you remove 'Bad Guy' by Billie Eilish?,remove
Please remove 'Happier' by Marshmello from my playlist.,remove
Take 'Shape of You' by Ed Sheeran off the playlist.,remove
Remove 'Hello' by Adele from the saved songs.,remove
Can you delete 'No Tears Left to Cry' by Ariana Grande?,remove
Please remove 'Good 4 U' by Olivia Rodrigo from my playlist.,remove
Take 'Blinding Lights' by The Weeknd off the list.,remove
Remove 'Starboy' by The Weeknd from my collection.,remove
Delete 'Roar' by Katy Perry from the playlist.,remove
Please take 'Stay' by Zedd & Alessia Cara off the playlist.,remove
Can you remove 'Havana' by Camila Cabello from the list?,remove
Take 'WAP' by Cardi B off the collection.,remove
Delete 'Truth Hurts' by Lizzo from the playlist.,remove
Remove 'Rolling in the Deep' by Adele from the saved list.,remove
Please take 'Gangnam Style' by PSY off my playlist.,remove
Can you remove 'Levitating' by Dua Lipa from the playlist?,remove
Take 'Goodbye Yellow Brick Road' by Elton John off the list.,remove
Remove 'She Will Be Loved' by Maroon 5 from my playlist.,remove
Delete 'Diamonds' by Rihanna from the saved songs.,remove
Take 'Money’ by Cardi B off the playlist.,remove
Please remove 'Counting Stars' by OneRepublic from my list.,remove
Remove 'Teenage Dream' by Katy Perry from the collection.,remove
Delete 'Viva La Vida' by Coldplay from my playlist.,remove
Take 'Radioactive' by Imagine Dragons off the list.,remove
Please remove 'Just the Way You Are' by Bruno Mars.,remove
Take 'Rolling in the Deep' by Adele off my playlist.,remove
Please remove 'Thinking Out Loud' by Ed Sheeran.,remove
Can you delete 'Wake Me Up' by Avicii from the list?,remove
Remove 'Lose Yourself' by Eminem from the collection.,remove
Delete 'Toxic' by Britney Spears from my playlist.,remove
Take 'No Tears Left to Cry' by Ariana Grande off the list.,remove
Please remove 'Love Me Like You Do' by Ellie Goulding.,remove
Can you delete 'Here Comes the Sun' by The Beatles?,remove
Get rid of 'Rolling in the Deep' by Adele from the playlist.,remove
Remove 'The Scientist' by Coldplay from the collection.,remove
Take 'Just the Way You Are' by Bruno Mars off the list.,remove
Please remove 'Someone Like You' by Adele.,remove
Delete 'Firework' by Katy Perry from my playlist.,remove
Remove 'I Don’t Want to Miss a Thing' by Aerosmith.,remove
Take 'Let’s Stay Together' by Al Green off the playlist.,remove
Can you delete 'What a Wonderful World' by Louis Armstrong?,remove
Please remove 'Imagine' by John Lennon from my list.,remove
Remove 'Blinding Lights' by The Weeknd from the playlist.,remove
Take 'Shape of You' by Ed Sheeran off my collection.,remove
Delete 'Happy' by Pharrell Williams from the list.,remove
Please remove 'Uptown Funk' by Mark Ronson from the playlist.,remove
Get rid of 'Sicko Mode' by Travis Scott from my collection.,remove
Remove 'I Will Always Love You' by Whitney Houston from the list.,remove
Take 'Shake It Off' by Taylor Swift off the playlist.,remove
Please remove 'Bohemian Rhapsody' by Queen from the playlist.,remove
Remove 'Rolling in the Deep' by Adele from my saved songs.,remove
Take 'Hallelujah' by Leonard Cohen off the list.,remove
Can you delete 'Toxic' by Britney Spears from the collection?,remove
Please remove 'Old Town Road' by Lil Nas X from the playlist.,remove
Get rid of 'Sweet Child O' Mine' by Guns N' Roses from my collection.,remove
Take 'Rolling in the Deep' by Adele off the saved songs.,remove
Remove 'Someone Like You' by Adele from the playlist.,remove
Delete 'Imagine' by John Lennon from the collection.,remove
Can you remove 'Hallelujah' by Leonard Cohen from the playlist?,remove
Remove 'Take Me to Church' by Hozier from my collection.,remove
Please delete 'Rolling in the Deep' by Adele from the saved songs.,remove
Remove 'Wonderwall' by Oasis from my playlist.,remove
Can you take off 'My Heart Will Go On' by Celine Dion?,remove
Delete 'All of Me' by John Legend from the collection.,remove
Remove 'Firework' by Katy Perry from my list.,remove
Can you delete 'Lose Yourself' by Eminem from my playlist?,remove
Please remove 'Rolling in the Deep' by Adele from my saved songs.,remove
Take 'Stayin' Alive' by the Bee Gees off my playlist.,remove
Remove 'Bohemian Rhapsody' by Queen from my playlist.,remove
Please remove 'Imagine' by John Lennon from the list.,remove
Delete 'Toxic' by Britney Spears from my playlist.,remove
Take 'I Want It That Way' by Backstreet Boys off the playlist.,remove
Can you remove 'Thunder' by Imagine Dragons from my collection?,remove
Remove 'Shape of You' by Ed Sheeran from my playlist.,remove
Please delete 'Goodbye Yellow Brick Road' by Elton John.,remove
Can you delete 'Blinding Lights' by The Weeknd from the playlist?,remove
Take 'No Scrubs' by TLC off my saved songs.,remove
Please remove 'Thinking Out Loud' by Ed Sheeran from the playlist.,remove
Remove 'Sweet Home Alabama' by Lynyrd Skynyrd from the list.,remove
Can you remove 'Rolling in the Deep' by Adele from my playlist?,remove
Please remove 'Hallelujah' by Leonard Cohen from my collection.,remove
Delete 'I’m Yours' by Jason Mraz from the list.,remove
Take 'Stay' by Rihanna off my playlist.,remove
Remove 'We Are the Champions' by Queen from the playlist.,remove
Can you remove 'Back in Black' by AC/DC from the playlist?,remove
Take 'Sweet Child O' Mine' by Guns N' Roses off the collection.,remove
Please remove 'Let Her Go' by Passenger from my saved songs.,remove
Remove 'Radioactive' by Imagine Dragons from the list.,remove
Delete 'One Dance' by Drake from my playlist.,remove
Can you remove 'Don’t Stop Believin' by Journey from the playlist?,remove
Please delete 'Love Me Like You Do' by Ellie Goulding from my collection.,remove
Take 'Rolling in the Deep' by Adele off my list.,remove
Remove 'Wonderwall' by Oasis from my playlist.,remove
Can you remove 'Counting Stars' by OneRepublic from the list?,remove
Delete 'Lose Yourself' by Eminem from my saved songs.,remove
Please remove 'Stayin' Alive' by the Bee Gees from the playlist.,remove
Take 'My Heart Will Go On' by Celine Dion off the list.,remove
Remove 'Toxic' by Britney Spears from the saved songs.,remove
Please delete 'Viva La Vida' by Coldplay from the playlist.,remove
Remove 'Rolling in the Deep' by Adele from my saved list.,remove
Can you remove 'Uptown Funk' by Mark Ronson from my playlist?,remove
Take 'Sweet Child O' Mine' by Guns N' Roses off the list.,remove
Please remove 'Let’s Stay Together' by Al Green from my collection.,remove
Delete 'Firework' by Katy Perry from my saved songs.,remove
Can you remove 'Old Town Road' by Lil Nas X from the playlist?,remove
Please delete 'What a Wonderful World' by Louis Armstrong from the list.,remove
Remove 'Bohemian Rhapsody' by Queen from my saved songs.,remove
Take 'Just the Way You Are' by Bruno Mars off the playlist.,remove
Remove 'Levitating' by Dua Lipa from my saved songs.,remove
Delete 'I Will Always Love You' by Whitney Houston from my playlist.,remove
Please remove 'Take Me to Church' by Hozier from the list.,remove
Remove 'Havana' by Camila Cabello from the playlist.,remove
Take 'Despacito' by Luis Fonsi off the collection.,remove
Delete 'Stay' by Zedd & Alessia Cara from my playlist.,remove
Please remove 'Feel It Still' by Portugal. The Man from the list.,remove
Remove 'Shape of You' by Ed Sheeran from my saved songs.,remove
Can you take off 'Don’t Stop Believin' by Journey from my playlist?,remove
Take 'Rolling in the Deep' by Adele off my playlist.,remove
Please remove 'Blinding Lights' by The Weeknd from the saved songs.,remove
Remove 'God’s Plan' by Drake from my list.,remove
Delete 'Sicko Mode' by Travis Scott from the collection.,remove
Can you remove 'All of Me' by John Legend from the playlist?,remove
Please take 'Shake It Off' by Taylor Swift off my list.,remove
Remove 'I Don’t Want to Miss a Thing' by Aerosmith from the saved songs.,remove
Take 'No Scrubs' by TLC off the collection.,remove
Please remove 'Lose Yourself' by Eminem from the playlist.,remove
Delete 'Uptown Funk' by Mark Ronson from my saved songs.,remove
Remove 'Back in Black' by AC/DC from my collection.,remove
Can you take off 'Rolling in the Deep' by Adele from my list?,remove
Take 'Purple Rain' by Prince off my playlist.,remove
Please remove 'Rolling in the Deep' by Adele from my collection.,remove
Remove 'Stayin' Alive' by the Bee Gees from my saved songs.,remove
Delete 'I’m Yours' by Jason Mraz from the playlist.,remove
Take 'Lose Yourself' by Eminem off the list.,remove
Remove 'Shape of You' by Ed Sheeran from the saved songs.,remove
Please remove 'Just the Way You Are' by Bruno Mars from the list.,remove
Take 'Blinding Lights' by The Weeknd off my saved songs.,remove
Delete 'Hallelujah' by Leonard Cohen from the playlist.,remove
Remove 'Counting Stars' by OneRepublic from the playlist.,remove
Please remove 'Bohemian Rhapsody' by Queen from the list.,remove
Delete 'Rolling in the Deep' by Adele from my collection.,remove
Take 'My Heart Will Go On' by Celine Dion off my playlist.,remove
Remove 'Radioactive' by Imagine Dragons from the collection.,remove
Please take 'Shape of You' by Ed Sheeran off my list.,remove
Remove 'Despacito' by Luis Fonsi from the playlist.,remove
Can you delete 'Sweet Home Alabama' by Lynyrd Skynyrd from my collection?,remove
Please remove 'Toxic' by Britney Spears from the playlist.,remove
Take 'Stayin' Alive' by the Bee Gees off my saved songs.,remove
Remove 'Rolling in the Deep' by Adele from my playlist.,remove
Can you remove 'Bohemian Rhapsody' by Queen from the collection?,remove
Please delete 'I Will Always Love You' by Whitney Houston from my list.,remove
Remove 'Counting Stars' by OneRepublic from my collection.,remove
Take 'Firework' by Katy Perry off the saved songs.,remove
Please remove 'Shape of You' by Ed Sheeran from the list.,remove
Delete 'Toxic' by Britney Spears from my collection.,remove
Take 'Rolling in the Deep' by Adele off the list.,remove
Please remove 'Smells Like Teen Spirit' by Nirvana from the collection.,remove
Remove 'Lose Yourself' by Eminem from the playlist.,remove
Please remove 'I Don’t Want to Miss a Thing' by Aerosmith from the playlist.,remove
Delete 'Stayin' Alive' by the Bee Gees from my list.,remove
Take 'Bohemian Rhapsody' by Queen off the playlist.,remove
Remove 'Blinding Lights' by The Weeknd from my collection.,remove
Please remove 'Shape of You' by Ed Sheeran from the collection.,remove
Take 'Rolling in the Deep' by Adele off my playlist.,remove
Can you remove 'Hotel California' by The Eagles from the playlist?,remove
Please delete 'Let’s Stay Together' by Al Green from my list.,remove
Remove 'Smells Like Teen Spirit' by Nirvana from my saved songs.,remove
Delete 'Toxic' by Britney Spears from the list.,remove
Take 'Sweet Home Alabama' by Lynyrd Skynyrd off the collection.,remove
Can you delete 'Rolling in the Deep' by Adele from my saved list?,remove
Remove 'Blinding Lights' by The Weeknd from my playlist.,remove
Please remove 'Viva La Vida' by Coldplay from the list.,remove
Delete 'Stay' by Zedd & Alessia Cara from my saved songs.,remove
Take 'Shape of You' by Ed Sheeran off my collection.,remove
Remove 'Wonderwall' by Oasis from my playlist.,remove
Can you remove 'Uptown Funk' by Mark Ronson from my list?,remove
Please delete 'Counting Stars' by OneRepublic from the playlist.,remove
Remove 'Rolling in the Deep' by Adele from my collection.,remove
Take 'Don’t Stop Believin' by Journey off the list.,remove
Delete 'Purple Rain' by Prince from the playlist.,remove
Can you remove 'I Will Always Love You' by Whitney Houston from my list?,remove
Please remove 'I Will Always Love You' by Whitney Houston from the playlist.,remove
Take 'Counting Stars' by OneRepublic off my playlist.,remove
Can you remove 'Stayin' Alive' by the Bee Gees from my saved songs?,remove
Please delete 'All of Me' by John Legend from the list.,remove
Remove 'We Are the Champions' by Queen from my playlist.,remove
Take 'Let Her Go' by Passenger off the collection.,remove
Please remove 'Rolling in the Deep' by Adele from my saved list.,remove
